_id,name,location,price,drinkType,establishmentType,additional,special
"""611c6ac2b0daea93bf15e863""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.40,[HOME-MADE] Lime Juice,Coffee shop,,
"""611c6b44b0daea93bf15e866""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.50,[HOME-MADE] Milo Original,Hawker,,
"""611c6b5ab0daea93bf15e867""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.30,[CAN] Coca-cola/Pepsi Original,Hawker,,
"""611c6be3b0daea93bf15e868""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.30,[CAN] Sprite Original,Hawker,,
"""611c6bf1b0daea93bf15e869""",Beverage,1.3520077769527217;103.83741762516033;155.5635137580529,1.30,[CAN] Fanta Grape/Orange,Hawker,,
"""611c6bfeb0daea93bf15e86a""",Hao Mart,1.3532088;103.8346161;20.888999938964844,1.30,[BOTTLE] Coca-cola/Pepsi Original,Minimart,,
"""611c6c41b0daea93bf15e86b""",Hao Mart,1.3532818;103.8346708;11.470999717712402,1.20,[CAN] Coca-cola/Pepsi Original,Minimart,,
"""611c6c52b0daea93bf15e86c""",Hao Mart,1.3532818;103.8346708;11.470999717712402,2.50,[BOTTLE] Coca-cola/Pepsi Original,Minimart,,
"""611c6e7bb0daea93bf15e86d""",7-11,1.3531299368510046;103.83456449270453;65,2.30,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c6e90b0daea93bf15e86f""",7-11,1.3531299368510046;103.83456449270453;65,2,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,,
"""611c7290b0daea93bf15e87f""",Ming Fa,1.3535455184720477;103.83429994053739;9.985124594358703,1.50,[BOTTLE] Coca-cola/Pepsi Original,Coffee shop,,
"""611c72b1b0daea93bf15e880""",Ming Fa,1.3535455184720477;103.83429994053739;9.985124594358703,1.50,[CAN] Coca-cola/Pepsi Original,Coffee shop,,discard previous entry
"""611c72dbb0daea93bf15e881""",Ming Fa,1.3535455184720477;103.83429994053739;9.985124594358703,1.50,[CAN] Sprite Original,Coffee shop,,
"""611c72e7b0daea93bf15e882""",Ming Fa,1.3535455184720477;103.83429994053739;9.985124594358703,1.50,[CAN] Fanta Grape/Orange,Coffee shop,,
"""611c7306b0daea93bf15e883""",Ming Fa,1.3535455184720477;103.83429994053739;9.985124594358703,1.80,[HOME-MADE] Milo Original,Coffee shop,,
"""611c731eb0daea93bf15e885""",Ming Fa,1.3535455184720477;103.83429994053739;9.985124594358703,2.20,[HOME-MADE] Lime Juice,Coffee shop,,
"""611c7477b0daea93bf15e888""",7/11,1.3548004;103.8307466;14.175000190734863,2.60,[BOTTLE] Coca-cola/Pepsi Original,Minimart,,
"""611c74e8b0daea93bf15e88b""",Ya Kun Kaya Toast,1.3546181;103.8307351;12.845999717712402,2.00,[HOME-MADE] Milo Original,Store,,
"""611c74fcb0daea93bf15e88c""",The Roti Prata Coffee House,1.3535455184720477;103.83429994053739;9.985124594358703,1.80,[HOME-MADE] Milo Original,Coffee shop,,
"""611c7523b0daea93bf15e88d""",The Roti Prata Coffee House,1.3535455184720477;103.83429994053739;9.985124594358703,1.80,[HOME-MADE] Bandung,Coffee shop,,
"""611c7532b0daea93bf15e88e""",The Roti Prata Coffee House,1.3535455184720477;103.83429994053739;9.985124594358703,1.80,[HOME-MADE] Lime Juice,Coffee shop,,
"""611c757cb0daea93bf15e891""",Wang,1.3545309;103.8304305;11.506999969482422,2.00,[HOME-MADE] Milo Original,Store,,
"""611c7662b0daea93bf15e892""",Wang Cafe,1.3547509;103.8305229;11.435999870300293,2.00,[HOME-MADE] Milo Original,Mall,,
"""611c76c9b0daea93bf15e893""",Tingkat PeraMakan,1.3549634315771188;103.83097459336261;65,2.80,[CAN] Coca-cola/Pepsi Original,Mall,,
"""611c771db0daea93bf15e894""",Tingkat PeraMakan,1.3549634315771188;103.83097459336261;65,2.80,[CAN] Sprite Original,Mall,,
"""611c7731b0daea93bf15e895""",Tingkat PeraMakan,1.3549634315771188;103.83097459336261;65,4,[HOME-MADE] Lime Juice,Mall,,
"""611c888efca48ef04d49d654""",Chill @ RI,1.3464342789652133;103.8417125462311;65,1.20,[CAN] Coca-cola/Pepsi Original,Convenience stall,,
"""611c8893fca48ef04d49d655""",Chill @ RI,1.3464342789652133;103.8417125462311;65,1.20,[CAN] Coca-cola/Pepsi Original,Convenience stall,,
"""611c88d5fca48ef04d49d656""",Chill @ RI,1.3464342789652133;103.8417125462311;65,1,[CAN] Fanta Grape/Orange,Convenience stall,,
"""611c88e5fca48ef04d49d657""",Chill @ RI,1.3464342789652133;103.8417125462311;65,1.20,[CAN] Sprite Original,Convenience stall,,
"""611c88e5fca48ef04d49d658""",Chill @ RI,1.3464342789652133;103.8417125462311;65,1.20,[CAN] Sprite Original,Convenience stall,,
