price,drinkType,establishmentType,lat,long,acc
2.5,[BOTTLE] Coca-cola/Pepsi Original,Minimart,1.3532818,103.8346708,11.470999717712402
2.3,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.3531299368510046,103.83456449270452,65.0
2.0,[BOTTLE] Coca-cola/Pepsi Original,Convenience stall,1.3531299368510046,103.83456449270452,65.0
1.5,[BOTTLE] Coca-cola/Pepsi Original,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
1.5,[CAN] Coca-cola/Pepsi Original,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
1.5,[CAN] Sprite Original,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
1.5,[CAN] Fanta Grape/Orange,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
1.8,[HOME-MADE] Milo Original,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
2.2,[HOME-MADE] Lime Juice,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
2.6,[BOTTLE] Coca-cola/Pepsi Original,Minimart,1.3548004,103.8307466,14.175000190734863
2.0,[HOME-MADE] Milo Original,Store,1.3546181,103.8307351,12.845999717712402
1.8,[HOME-MADE] Milo Original,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
1.8,[HOME-MADE] Bandung,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
1.8,[HOME-MADE] Lime Juice,Coffee shop,1.3535455184720475,103.8342999405374,9.985124594358703
2.0,[HOME-MADE] Milo Original,Store,1.3545309,103.8304305,11.506999969482422
2.0,[HOME-MADE] Milo Original,Mall,1.3547509,103.8305229,11.435999870300291
2.8,[CAN] Coca-cola/Pepsi Original,Mall,1.3549634315771188,103.8309745933626,65.0
2.8,[CAN] Sprite Original,Mall,1.3549634315771188,103.8309745933626,65.0
4.0,[HOME-MADE] Lime Juice,Mall,1.3549634315771188,103.8309745933626,65.0
1.2,[CAN] Coca-cola/Pepsi Original,Convenience stall,1.3464342789652133,103.8417125462311,65.0
1.2,[CAN] Coca-cola/Pepsi Original,Convenience stall,1.3464342789652133,103.8417125462311,65.0
1.0,[CAN] Fanta Grape/Orange,Convenience stall,1.3464342789652133,103.8417125462311,65.0
1.2,[CAN] Sprite Original,Convenience stall,1.3464342789652133,103.8417125462311,65.0
1.2,[CAN] Sprite Original,Convenience stall,1.3464342789652133,103.8417125462311,65.0
